ID,Title,"Report Year",Status,"Year Adopted","Date of Last Event",Level,State,County,County,Municipality,Type,Content,Citations
3315,"Novesta Township (Tuscola County)",2025,"In effect",,2019,Local,MI,"Tuscola County",26157,"Novesta Township",Wind,"Novesta Township’s wind ordinance requires turbines to be set back at least 5 times turbine height from non-participating property lines and 3 times turbine height from participating inhabited structures. The ordinance measures turbine height by the highest vertical point of the turbine’s swept rotor arc.","Novesta Township, Michigan, Ordinance No. 2018, https://drive.google.com/open?id=1oXWRz9zohYoEPpeAVy9k_hcVlGyU-mSc"
3316,"Nye County",2025,"In effect",2025,2025,Local,NV,"Nye County",32023,,Solar|Wind,"In November 2022, the Nye County Board of County Commissioners approved a temporary 6-month moratorium on processing permits for renewable energy generation facilities. [Note: In January 2025, the moratorium expired, and a new ordinance took effect which implements a setback requirement of 1 mile for solar systems from residentially zoned property.]","NYE COUNTY, NEV., RESOLUTION NO. 2024-12 (adopted Apr. 16, 2024), https://www.nyecountynv.gov/DocumentCenter/View/46222/Item22; Nye County's solar regulations set; here's when they go into effect, PAHRUMP VALLEY TIMES, 2024, https://pvtimes.com/news/nye-countys-solar-regulations-set-heres-when-they-go-into-effect-138877/."
3317,"Oak Creek Township (Butler County)",2025,"In effect",2015,2015,Local,NE,"Butler County",31023,"Oak Creek Township",Wind,"In September 2015, Oak Creek Township implemented regulations requiring that wind turbines be set back 1,640 feet from public roads and non-participating private property lines. The regulations were drafted by a group called Bohemian Alps Wind Watchers and implemented around the same time by five other townships in Butler County. On October 5, 2015, Butler County sent a letter to the townships challenging their authority to implement such regulations and requesting that they void the regulations, which Oak Creek declined to do.","Larry Peirce, Regulating wind turbines now a township issue, Journal Star, September 12, 2015, https://journalstar.com/news/state-and-regional/nebraska/regulating-wind-turbines-now-a-township-issue/article_3c4d3317-c7d6-54f6-bc34-c3b5560f70d4.html; Larry Peirce, Townships line up against wind development, Columbus Telegram, Sept. 23, 2015, https://columbustelegram.com/community/banner-press/news/townships-line-up-against-wind-development/article_8be33e8e-4ecd-5d6b-9049-ab7449f18244.html; Larry Peirce, Opinions differ on legality of Butler County townships’ wind turbine regulations, Journal Star, September 26, 2015, https://journalstar.com/news/state-and-regional/nebraska/opinions-differ-on-legality-of-butler-county-townships-wind-turbine-regulations/article_2c0c6b6b-7310-59fb-99b5-6aef2d0fabaf.html; Larry Peirce, Butler County tells townships to void wind turbine regulations, Journal Star, October 7, 2015, https://journalstar.com/news/state-and-regional/nebraska/butler-county-tells-townships-to-void-wind-turbine-regulations/article_af1470a4-810b-55d8-bf52-aa07275e01f1.html; Larry Peirce, Townships: Regulations to limit wind turbine development won’t be voided, Columbus Telegram, January 7, 2016, https://columbustelegram.com/community/banner-press/news/townships-regulations-to-limit-wind-turbine-development-won-t-be-voided/article_69c7f567-46dc-5423-8ff2-f33fd01e1673.html."
3318,"Ogden Township (Lenawee County)",2025,Expired,2011,2011,Local,MI,"Lenawee County",26091,"Ogden Township",Wind,"In March 2011, Ogden Township officials voted unanimously (5-0) to institute a 6-month moratorium on wind turbine construction. Ogden created a citizens advisory committee to research the effects of wind energy and alternative options for power generation.","Dan Cherry, Ogden township board passes 6-month moratorium on wind turbines, Daily Telegram, Mar. 15, 2011, https://www.lenconnect.com/story/news/local/2011/03/15/ogden-township-board-passes-6/64104398007/."
3319,"Oglethorpe County",2025,"In effect",2023,2023,Local,GA,"Oglethorpe County",13221,,Solar,"In March 2023, the Oglethorpe County Board of Commissioners adopted a 6-month moratorium on new solar projects. The moratorium lasted until September 2023, when the county adopted an amendment to its Zoning Ordinance of Solar Energy Systems.","Garrett Kicklighter, No new solar farms for now, Oglethorpe Echo, March 8, 2023, https://www.theoglethorpeecho.com/local-news/no-new-solar-farms-now; Caitlin Downing, Solar farm ordinance reworked, Oglethorpe Echo, Aug. 30, 2023, https://www.theoglethorpeecho.com/local-news/solar-farm-ordinance-reworked; Caitlin Downing, Solar farm ordinance approved, Oglethorpe Echo, Sept. 14, 2023, https://www.theoglethorpeecho.com/local-news/solar-farm-ordinance-approved."
3320,"Osage County",2025,"In effect",2022,2022,Local,KS,"Osage County",20139,,Solar|Wind,"On October 24, 2022, the Osage County Commission unanimously adopted a measure to prohibit any new commercial wind and solar projects within the county’s borders. The county allows only small wind and solar systems of 30 kW or less for on-site power generation.","Sarah Motter, Osage Co. wind farm, alternate energy development plans halted, 13 WIBW, Oct. 26, 2022, https://www.wibw.com/2022/10/26/osage-co-wind-farm-alternate-energy-development-plans-halted/; Planning Commission Memo from Russ Ewy to Osage County Planning Commission dated Oct. 6, 2022, http://ks827.cichosting.com/main/images/pdfs/Osage-County-PC-Memo-on-Alternative-Energy-Amendments-10-06-2217073.pdf."
3321,"Otoe County",2025,"In effect",2024,2024,Local,NE,"Otoe County",31131,,Solar|Wind,"Otoe County’s zoning ordinance requires commercial wind turbines to be set back at least 1 mile from non-participating property lines, churches, and schools, and at least 2 miles from village and city limits. On January 31, 2023, the Otoe County Commissioners adopted new restrictions on wind energy: according to the meeting minutes, “turbines shall be limited to no more than two WECS per participating landowner within a one (1) mile radius of the participating property line.” In April 2024, the Otoe County Board of Commissioners enacted a moratorium on conditional use permits for commercial solar projects, which was extended in May 2024 and August 2024. In December 2024, Otoe County voted to approve zoning regulations that allow commercial solar on up to 1% of the county’s total acres. The regulations also require a 1,000-foot setback from non-participating dwellings. Several citizens speaking at the public hearing stated that they opposed seeing solar panels on land once used for agricultural purposes.","Otoe County tightens reins on solar power, NEWS CHANNEL NEBRASKA, 2024,  https://southeast.newschannelnebraska.com/story/51921657/otoe-county-tightens-reins-on-solar-power; OTOE COUNTY, NEBRASKA, ZONING ORDINANCE 8.08.05 (2022), https://otoecountyne.gov/pdfs/planning_zoning/Otoe%20County%20Zoning_final%20draft.pdf; Otoe County, Neb., Board Minutes (Jan. 31, 2023), https://otoecountyne.gov/posting_files/pdfs/board/minutes/2023/20230131_111144_board_minutes.pdf."
3322,"Ottawa County",2025,"In effect",2022,2022,Local,OH,"Ottawa County",39123,,Solar|Wind,"On December 13, 2022, the Ottawa County Board of Commissioners adopted a resolution pursuant to S.B. 52 restricting wind farms of at least 5 MW and solar farms of at least 50 MW from all unincorporated areas in most townships in the county.","Sheri Trusty, County Commissioners accept township decisions on large-scale solar, wind farms, The Beacon, Jan. 11, 2023, https://www.thebeacon.net/county-commissioners-accept-township-decisions-on-large-scale-solar-wind-farms/."
3323,"Page County",2025,Expired,2022,2022,Local,IA,"Page County",19145,,Wind,"In March 2022, the Page County Board of Supervisors imposed a moratorium on commercial wind applications while it considers changes to its ordinance.","Ryan Matheny, Page County Board agrees on setback, height requirement changes in wind ordinance, KMALAND, Apr. 20, 2023, https://www.kmaland.com/news/page-county-board-agrees-on-setback-height-requirement-changes-in-wind-ordinance/article_1f8e1eee-dfdf-11ed-8b0e-13bb3f608085.htm; Ethan Hewett, Page County board reviews wind ordinance, extends moratorium, KMALAND, Mar. 2, 2023, https://www.kmaland.com/news/page-county-board-reviews-wind-ordinance-extends-moratorium/article_2671edc8-b96d-11ed-b72d-97bb1ebe0d2c.html."
3324,"Page County",2025,"In effect",2022,2022,Local,VA,"Page County",51139,,Solar,"On June 28, 2022, Page County adopted a solar ordinance that limits utility-scale projects to 30 acres “covered by arrays of photovoltaic panels, including spaces between panels,” and other related structures. The ordinance further requires that above-ground structures, including security fences, be set back at least 300 feet from property lines with existing dwellings and that transformers be set back 600 feet.","Page County, Va., Code §§ 134-7(J)-(K) (June 28, 2022), https://ecode360.com/39329837."
3325,"Palmyra Township (Lenawee County)",2025,"In effect",2023,2023,Local,MI,"Lenawee County",26091,"Palmyra Township",Solar,"In May 2023, voters in Palmyra Township approved a zoning amendment that imposed new restrictions on utility-scale solar projects. While the original ordinance required that utility-scale solar projects be set back 50 feet from property lines, the amended ordinance requires setbacks of 330 feet. In addition, while the original ordinance did not impose any limits on the amount of a lot that could be covered with solar panels, the amended ordinance sets a percentage maximum on lot coverage.","Mary Lowe, Palmyra Township voters support zoning amendment restricting most utility-scale solar, Daily Telegram, May 3, 2023, https://www.lenconnect.com/story/news/local/2023/05/03/palmyra-township-pass-amendment-rejecting-most-utility-scale-solar/70177801007/."
3326,"Palo Alto County",2025,"In effect",2022,2022,Local,IA,"Palo Alto County",19147,,Wind,"On June 22, 2022, the Palo Alto County Board of Supervisors adopted revisions to the county wind ordinance that set a countywide limit for wind energy production of 600 MW and required that turbines be set back from Rush Lake and Virgin Lake by 0.5 miles.","Palo Alto County Approves Wind Energy Ordinance Revision, KICD, June 23, 2022, https://kicdam.com/news/170071-palo-alto-county-approves-wind-energy-ordinance-revision/."
3327,"Patrick County",2025,"In effect",2007,2007,Local,VA,"Patrick County",51141,,Wind,"Patrick County adopted an ordinance in 2007 that prohibits any structures over 100 feet tall except for telecommunications towers and towers associated with religious buildings. The ordinance provides that “this prohibition shall be without any other exception and there shall be no variances, nor conditional nor special use permits granted from this ordinance.”","Patrick County, Va., An Ordinance Entitled Prohibition of Tall Structures (Feb. 12, 2007), https://www.co.patrick.va.us/content/patrick/uploads/PDF/tall_structure_ordiance.pdf."
3328,"Pennington County",2025,"In effect",2024,2024,Local,SD,"Pennington County",46103,,Solar|Wind,"On November 19, 2024, the Pennington County Board of Commissioners adopted a countywide 1-year moratorium on utility-scale alternative energy systems, including both solar and wind energy systems. The moratorium is set to expire on November 18, 2025.","PENNINGTON COUNTY, SD, Ordinance 741 (adopted Nov. 19, 2024),  https://pennco.org/index.asp?SEC=3782921E-EB80-4198-B62D-3BB261AA5106."
3329,"Piatt County",2025,Expired,2020,2023,Local,IL,"Piatt County",17147,,Wind,"In August 2020, a moratorium on wind energy projects was extended until March 2021 with unanimous approval from the County Board. In January 2023, Piatt County again imposed a moratorium on applications for wind energy projects through September 2023.  This moratorium is likely invalid under state law pursuant to Public Act 102-1123 (2023).","Staff, County moratorium on wind farm applications extended, Piatt County Journal-Republican, Aug. 19, 2020, https://www.journal-republican.com/news/county-moratorium-on-wind-farm-applications-extended/article_6a8760d8-e184-11ea-8aab-afeaedb4ec99.html; Kevin Barlow, County Board Approves Moratorium on Wind Farms Through Sept. 1, Piatt County Journal-Republican, Jan. 24, 2023, https://www.journal-republican.com/news/local/county-board-approves-moratorium-on-wind-farms-through-sept-1/article_bac06418-9b5a-11ed-bafb-e30674d6a8f5.html."
3330,"Pierce County",2025,Expired,2017,2017,Local,NE,"Pierce County",31139,,Wind,"In November 2017, Pierce County commissioners extended a moratorium on wind farm applications that had been put in place in June 2017 to June 2018.","Jerry Guenther, Wind energy gets some ‘blow back,’ Norfolk Daily News, Nov. 21, 2017, https://norfolkdailynews.com/news/wind-energy-gets-some-blow-back/article_9e174b16-ced1-11e7-9b17-0ffbb5c6166e.html."
3331,"Pierson Township (Montcalm County)",2025,"In effect",2021,2021,Local,MI,"Montcalm County",26117,"Pierson Township",Wind,"The zoning ordinance, as amended in 2021, requires that commercial wind turbines be set back from property lines by a distance of 4 times blade tip height. It further limits noise to 39 dBA at night and limits shadow flicker on neighboring properties to zero. The ordinance explicitly references agricultural preservation as well as health and safety concerns as the basis for the restrictions. Pierson Township’s wind energy restrictions are virtually identical to those of Almer Township.","Pierson Township, Mich., Ordinance to Amend Zoning Ordinance to Provide for Public Utility Facilities and Wind Energy Conversion Systems, Ordinance Nos. 2020-01 (as amended by Ordinance No. 2021-01 of June 2021) §§ 5.05(b)(1), (h)(1), (h)(13), (h)(30), https://www.piersontwp.org/_files/ugd/7ad804_bec875fe9e674c8ba6600f07f2232d10.pdf."
3332,"Pittsylvania County",2025,"In effect",2023,2023,Local,VA,"Pittsylvania County",51143,,Solar,"On March 21, 2023, the Pittsylvania County Board of Supervisors approved changes to the county’s solar ordinance that will prohibit the construction of solar farms within 5 miles of any other solar farm and limit utility-scale solar projects to 2% of the total acreage of any zoning district.","Diana McFarland, PittCo further restricts solar, Chatham Star Tribune, Mar. 30, 2023, https://www.chathamstartribune.com/news/article_fd43026e-ce40-11ed-a14d-c7bed4d03718.html."
3333,"Portage County",2025,Expired,2023,2023,Local,OH,"Portage County",39133,"Shalersville, Nelson, Rootstown Townships",Solar|Wind,"In 2022 and 2023, three Portage County townships (Shalersville, Nelson, and Rootstown) established temporary moratoria on large wind and solar facilities. However, as of December 31, 2024, the county has not established a restricted area pursuant to S.B. 52.","Wendy DiAlesandro, Three Portage County townships want to restrict or ban solar and wind farms, Portager, June 9, 2023, https://theportager.com/three-portage-county-townships-want-to-restrict-or-ban-solar-and-wind-farms/; Portage County, Ohio, Regional Planning Commission Minutes (April 12, 2023), https://www.portagecounty-oh.gov/sites/g/files/vyhlif3706/f/uploads/april_2023_rpc_full_board.pdf; Ryan Lind, Documenters: Nelson Township Trustee meeting for March 15, 2023, Portager, March 20, 2023, https://theportager.com/documenters-nelson-township-trustee-meeting-for-march-15-2023/; Ryan Lind, Documenters: Shalersville Zoning Public Hearing and Trustee meeting for March 7, 2023, Portager, March 13, 2023, https://theportager.com/documenters-shalersville-zoning-public-hearing-and-trustee-meeting-for-march-7-2023/."
3334,"Posey County",2025,"In effect",2021,2021,Local,IN,"Posey County",18129,,Solar|Wind,"In January 2021, the Posey County Commission voted to prohibit all turbines within 10 miles of the Doppler Radar Site in Owensville. A developer cancelled plans for a proposed wind project in response to the restriction. Furthermore, the Solar and Wind Ordinance for unincorporated areas of Posey County mandates that no ground-mounted solar system may be closer than 1 mile to any municipal boundary line. The Ordinance also mandates that no wind energy project may be located closer than 1 mile to any municipal boundary line or closer than 2 miles to any public, private, or parochial school property boundary line.","Tri-State Editor, Posey County Commission approves wind turbine restriction, Tristate Homepage, Jan. 5, 2021, https://www.tristatehomepage.com/news/top-stories/posey-county-commission-approves-wind-turbine-restriction/; Renewable Energy Generation Systems, Solar and Wind: Tier 1, 2, and 3 Projects, Posey County, Indiana, https://www.poseycountyin.gov/wp-content/uploads/2020/03/Solar-and-Wind-Ordinace-for-Unincorporated-Posey-County.pdf."
3335,"Pottawatomie County",2025,"In effect",2022,2023,Local,KS,"Pottawatomie County",20149,,Solar,"In the fall of 2022, the Pottawatomie County Commission enacted a 1-year moratorium on utility-scale commercial solar projects. In November 2023, the County Commission voted 2-1 to extend the moratorium by 3 years.","Annie Wolfe, County extends solar farm moratorium, POTTAWATOMIE COUNTY TIMES, Nov. 27, 2023, https://www.pottcotimes.com/news/county-extends-solar-farm-moratorium/article_0af389a0-0647-50a2-9c6d-ee3c793034f0.html."
3336,"Pottawattamie County",2025,"In effect",2024,2024,Local,IA,"Pottawattamie County",19155,,Solar|Wind,"In February 2024, the Pottawattamie County Board of Supervisors adopted new wind and solar zoning restrictions. Under the new zoning ordinance, wind turbines must not exceed 412 feet in height; new solar farms must be set back at least a quarter mile (402 meters) from property lines; and new solar farms must be set back at least a half mile (804 meters) from residences.","Bella Caracta, Pottawattamie County adopts new wind, solar ordinances, 6 NEWS WOWT, Feb. 27, 2024, https://www.wowt.com/2024/02/28/pottawatamie-county-adopts-new-wind-solar-ordinances/."
3337,"Pratt County",2025,"In effect",2012,2012,Local,KS,"Pratt County",20151,,Wind,"Zoning regulations require that wind turbines be set back 2,500 feet from active residential buildings, although the setback can be reduced to 1,000 feet with the written permission of all affected residents.","Pratt County, Kan., Zoning Regulations A-12 (2012), https://www.prattcounty.org/DocumentCenter/View/77/Adopted-Pratt-County-Zoning-Regulations-5-7-2012-Reduced-size (last visited May 24, 2023)."
3338,"Prince George County",2025,"In effect",2020,2020,Local,VA,"Prince George County",51149,,Solar,"In August 2020, Prince George County adopted a policy (but not a binding requirement) limiting the land used for solar facilities outside of heavy industrial districts to 2.74% of total acreage.","Prince George County, Va., Solar Energy Facility Siting Policy (Aug. 11, 2020), https://cms1files.revize.com/princegeorgeva/Adopted%20Solar%20Energy%20Siting%20Policy%20-%2008.11.2020.pdf."
3339,"Pulaski County",2025,"In effect",2018,2022,Local,IN,"Pulaski County",18131,,Wind,"In 2018, Pulaski County Commissioners banned all commercial wind development.  The Unified Development Ordinance of 2022 provides that “commercial WECS [wind energy conversion systems] shall be a prohibited use within the planning and zoning jurisdiction of Pulaski County” in the interest of “protecting and promoting the health, safety, and general welfare of the residents of Pulaski County” and “in light of concerns regarding negative impact on the value of property,” among other reasons.","Pulaski County, Ind., Unified Development Ordinance § 7.1(d)(2) (Apr. 8, 2022), http://gov.pulaskionline.org/wp-content/uploads/sites/4/2022/08/UDO2022.pdf."
3340,"Putnam County",2025,"In effect",2023,2023,Local,OH,"Putnam County",39137,,Solar|Wind,"In September 2023, the Putnam County Board of County Commissioners adopted a resolution under S.B. 52 establishing all unincorporated areas of the county as a restricted area in which the construction of large solar facilities and large or economically-significant wind farms are prohibited.","Putnam County, Ohio, Board of Commissioners Meeting Minutes (Sept. 8, 2023), https://putnamcountyohio.gov/wp-content/uploads/2023/09/September-8-2023.pdf."
3341,"Raisinville Township (Monroe County)",2025,"In effect",2024,2024,Local,MI,"Monroe County",26115,,Solar,"On November 18, 2024, Raisinville Township adopted an order that limited the aggregate amount of land that could be used for solar to a total of 1,000 acres across the township.","RAISINVILLE TOWNSHIP, MICH., ORDINANCE NO. 61-U § 3.31(6)(H), https://www.raisinville.org/mt-content/uploads/2024/11/solarzoamend50mw_finaladopted_11-18-2024.pdf."
3342,"Ralpho Township (Northumberland County)",2025,"In effect",2022,2022,Local,PA,"Northumberland County",42097,"Ralpho Township",Solar,"In November 2022, Ralpho Township adopted a solar ordinance that allows major solar energy systems as a special exception in land zoned for agriculture and forestry, but not in residential areas. In December 2022, the owner of an amusement park who intended to build a 15-acre solar array in a residential district filed a lawsuit challenging the ordinance.","Justin Strawser, H.H. Knoebels Sons sues Ralpho Township over solar ordinance, The Daily Item, Dec. 14, 2022, https://www.dailyitem.com/news/h-h-knoebels-sons-sues-ralpho-township-over-solar-ordinance/article_88804ca8-7bd3-11ed-8354-0327d9ac355d.html; Ralpho Township, Pa., Supervisors Monthly Meeting Minutes, Nov. 8, 2022, https://www.ralphotownship.org/meeting-minutes/2021-2025/."
3343,"Red Willow County",2025,Expired,2023,2023,Local,NE,"Red Willow County",31145,,Solar,"In January 2023, Red Willow County enacted a 6-month moratorium on solar farms with the option to extend. The moratorium was enacted amidst local concerns about a proposed 54-MW solar plant north of McCook.","Bruce Crosby, County Imposes Moratorium on Solar Plants, Seeks Research on Zoning, McCook Gazette, Jan. 9, 2023, https://www.mccookgazette.com/story/2979038.html."
3344,"Reno County",2025,"In effect",2021,2023,Local,KS,"Reno County",20155,,Wind,"In December 2021, the Reno County Commission banned wind development in all zoned areas of the county. The vote to ban wind development in certain areas of the county came three years after residents requested that the commission impose a moratorium on wind development, ostensibly in response to news that NextEra was purchasing leases for a potential wind farm in the county. As of December 2021, a moratorium on commercial wind development was scheduled to run through March 2022. As of February 2023, the county’s zoning regulations provide that, “[i]n order to provide for an incorporated city to extend its corporate boundary and increase its tax base, no turbine shall be located within 1 mile of an incorporated city boundary.” Wind farms are permitted, however, in a designated Commercial Wind Energy Conversion Systems District in the unincorporated part of the county.","John Green, Commission formally bans industrial wind in zoned areas of Reno County, The Hutchinson News, Dec. 14, 2021, https://www.hutchnews.com/story/news/2021/12/14/reno-county-commission-meeting-bans-industrial-wind-zoned-areas-county/6508762001/; Reno County, Kan., Zoning Regulations § 23-107(2)(H), https://www.renogov.org/DocumentCenter/View/9788/Zon-Article-23---Commercial-Wind-Energy-Conversion-Systems-PDF (last visited May 24, 2023); Reno County, Kan., Zoning Regulations § 24-103, https://www.renogov.org/DocumentCenter/View/9789/Zon-Article-24-CWECS-PDF (last visited May 24, 2023)."
3345,"Richardson Township (Butler County",2025,"In effect",2015,2015,Local,NE,"Butler County",31023,"Richardson Township",Wind,"In September 2015, Richardson Township implemented regulations requiring that wind turbines be set back 1,640 feet from public roads and non-participating private property lines. The regulations were drafted by a group called Bohemian Alps Wind Watchers and implemented around the same time by five other townships in Butler County. On October 5, 2015, Butler County sent a letter to the townships challenging their authority to implement such regulations and requesting that they void the regulations, which Richardson declined to do.","Larry Peirce, Regulating wind turbines now a township issue, Journal Star, September 12, 2015, https://journalstar.com/news/state-and-regional/nebraska/regulating-wind-turbines-now-a-township-issue/article_3c4d3317-c7d6-54f6-bc34-c3b5560f70d4.html; Larry Peirce, Townships line up against wind development, Columbus Telegram, Sept. 23, 2015, https://columbustelegram.com/community/banner-press/news/townships-line-up-against-wind-development/article_8be33e8e-4ecd-5d6b-9049-ab7449f18244.html; Larry Peirce, Opinions differ on legality of Butler County townships’ wind turbine regulations, Journal Star, September 26, 2015, https://journalstar.com/news/state-and-regional/nebraska/opinions-differ-on-legality-of-butler-county-townships-wind-turbine-regulations/article_2c0c6b6b-7310-59fb-99b5-6aef2d0fabaf.html; Larry Peirce, Butler County tells townships to void wind turbine regulations, Journal Star, October 7, 2015, https://journalstar.com/news/state-and-regional/nebraska/butler-county-tells-townships-to-void-wind-turbine-regulations/article_af1470a4-810b-55d8-bf52-aa07275e01f1.html; Larry Peirce, Townships: Regulations to limit wind turbine development won’t be voided, Columbus Telegram, January 7, 2016, https://columbustelegram.com/community/banner-press/news/townships-regulations-to-limit-wind-turbine-development-won-t-be-voided/article_69c7f567-46dc-5423-8ff2-f33fd01e1673.html."
3346,"Riga Township (Lenawee County)",2025,Expired,2019,2019,Local,MI,"Lenawee County",26091,"Riga Township",Wind,"Riga Township’s wind energy ordinance requires that on-site wind energy systems and MET towers be set back from non-participating property lines by the greater of either 2 times the height of the structure or the minimum distance necessary for noise to remain below 40 dBa.","Riga Township, Michigan, Ordinance No. 32, https://mcusercontent.com/6bd0975b16a7e7a508afa9b4b/files/7ca8dff2-33ca-42db-9084-687d2e68aa01/ordinance_32_Wind_Ordinance.pdf."
3347,"Ringgold County",2025,"In effect",2023,2023,Local,IA,"Ringgold County",19159,,Solar|Wind,"In July 2023, the Ringgold County Board of Supervisors approved new ordinances for wind turbines and solar. The wind ordinance requires that commercial wind turbines must be set back at least 0.5 miles (2,640 feet) from adjoining property lines, roads, and certain parks and public areas and 1 mile from state and federal parks and designated protected areas. The solar ordinance caps the total area used for utility-scale solar in the county at 400 acres, and it requires that utility-scale solar projects be set back at least 1,000 feet from occupied residences.","Ringgold County, Iowa, Wind Ordinance #RC23-117 (July 24, 2023), https://cms8.revize.com/revize/ringgoldia/Wind.pdf; Ringgold County, Iowa, Solar Ordinance #RC23-117 (July 24, 2023), https://cms8.revize.com/revize/ringgoldia/Solar.pdf; Raquel Linch, Ringgold County wind and solar energy ordinances approved, KSIB Radio, July 26, 2023, https://www.ksibradio.com/ringgold-county-wind-and-solar-energy-ordinances-approved/."
3348,"Rio Blanco County",2025,Expired,2023,2023,Local,CO,"Rio Blanco County",08103,,Solar|Wind,"In August 2023, the Rio Blanco Board of County Commissioners adopted a moratorium on wind and solar projects in order to determine how to incorporate such projects into the county’s land use plan.","Niki Turner, County Beat: Moratorium on new wind/solar projects approved, Herald Times, Aug. 24, 2023, https://www.theheraldtimes.com/county-beat-moratorium-on-new-wind-solar-projects-approved/rio-blanco-county/; Renewable Energy Production – Colorado, USA TODAY, https://data.usatoday.com/renewable-energy-production/colorado/08/99905/ (last visited March 11, 2024)."
3349,"Rockingham County",2025,"In effect",2023,2023,Local,VA,"Rockingham County",51165,,Solar,"As of its March 2023 zoning ordinance, Rockingham County caps the cumulative acreage that can be occupied by solar farms at 1,800 acres and limits individual solar projects to 50-150 acres per project.","Rockingham County, Va., Code § 17-607, Solar energy facility, large (a) (as of Mar. 21, 2023), https://library.municode.com/va/rockingham_county/codes/code_of_ordinances?nodeId=CH17ZO_ARTVILAUS_S17-607SUSTCELAUS."
3350,"Rowan County",2025,Expired,2019,2020,Local,NC,"Rowan County",37159,,Solar,"In October 2019, Rowan County instituted a moratorium on large solar farms, set to expire in April 2020. It was extended twice. At the time of the most recent extension on October 5, 2020, it was set to expire on April 6, 2021.","Ben Stansell, Planning board talks through new rules for solar farms, Salisbury Post, Oct. 27, 2020, https://www.salisburypost.com/2020/10/27/planning-board-talks-through-new-rules-for-solar-farms."
3351,"Rush County",2025,"In effect",2022,2022,Local,IN,"Rush County",18139,,Wind,"Rush County limits turbines to 200 feet and imposes a setback distance of 2,640 from all property lines. The ordinance also limits shadow flicker on non-participating landowners’ properties to zero and limits noise to 32 dBa at the property line.","Rush County, Ind., Zoning Ordinance §§ 6.3.7(a), (c), 6.3.8(b), (c) (2022), https://rushcounty.in.gov/wp-content/uploads/2022/09/Combine.pdf"
3352,"Sac County",2025,"In effect",2021,2021,Local,IA,"Sac County",19161,,Wind,"Sac County’s wind energy regulations limit shadow flicker on any human-occupied dwelling to 20 hours per year. The regulations require that wind towers be set back the greater of 3.5 times turbine height or 1,697 feet from the nearest residential dwelling, incorporated areas, public recreational areas, village residential areas, lake area development districts, urban transition districts, and event centers. The setback from a dwelling can be reduced to the height of the tower if the property owner signs a written waiver. The regulation also establishes a setback of 1.5 times turbine height from non-participating property lines, unless the property owner signs a written waiver.","Sac County, Iowa, 6.14.045 Wind Energy Regulations and Definitions, https://www.saccountyiowa.gov/uploads/2/2/6/6/22665450/6_14_045_wind_energy_regulations___definititions.pdf (last visited Nov. 6, 2024)."
3353,"Saline County",2025,"In effect",2020,2020,Local,NE,"Saline County",31151,,Wind,"The Saline County Zoning Regulations, as amended in 2018, require that wind turbines be set back 0.5 miles from occupied structures on abutting properties. The regulations further limit noise to 40 dBA for any 10-minute average at any dwelling. In August 2020, the Saline County Planning and Zoning Board approved a 4-month moratorium on new wind farm applications. After the 6-1 vote, the Board stated that the moratorium was meant to ensure community safety and the sustainable future development of wind energy in Saline County.","Saline County, Neb., Zoning Regulations §§ 619(E)(1)(e)(1), (4) (2018), https://co.saline.ne.us/pdfs/planning_zoning/zoning_regulations.pdf; H. Sterling Burnett, Nebraska County Zoning Board Places Moratorium on New Wind Farm Proposals, Heartland Daily News, Sept. 2, 2020, https://heartlanddailynews.com/2020/09/nebraska-county-zoning-board-places-moratorium-on-new-wind-farm-proposals/."
3354,"San Bernardino County",2025,"In effect",2019,2019,Local,CA,"San Bernardino County",06071,,Solar|Wind,"In 2019, the San Bernardino County Board of Supervisors banned “utility oriented” renewable energy projects in designated “rural living” areas covering more than 1,000,000 acres of land. Residential solar panels and community solar projects are not affected.","Christian Roselund, San Bernardino County bans large-scale solar, wind in some areas, PV Magazine, Mar. 1, 2019, https://pv-magazine-usa.com/2019/03/01/san-bernardino-county-bans-large-scale-solar-wind-in-some-areas/; see County of San Bernardino General Plan, Renewable Energy and Conservation Element, RE Policy 4.10, Feb. 2019, https://countywideplan.com/wp-content/uploads/sites/68/2021/02/REC-Element.pdf."
